,geometry,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 08:30:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02 08:30:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00,2022-01-02 17:00:00,2022-01-02 18:00:00,2022-01-02 19:00:00,2022-01-02 20:00:00,2022-01-02 21:00:00,2022-01-02 22:00:00,2022-01-02 23:00:00,2022-01-03 00:00:00,2022-01-03 01:00:00,2022-01-03 02:00:00,2022-01-03 03:00:00,2022-01-03 04:00:00,2022-01-03 05:00:00,2022-01-03 06:00:00,2022-01-03 07:00:00,2022-01-03 08:00:00,2022-01-03 08:30:00,2022-01-03 09:00:00,2022-01-03 10:00:00,2022-01-03 11:00:00,2022-01-03 12:00:00,2022-01-03 13:00:00,2022-01-03 14:00:00,2022-01-03 15:00:00,2022-01-03 16:00:00,2022-01-03 17:00:00,2022-01-03 18:00:00,2022-01-03 19:00:00,2022-01-03 20:00:00,2022-01-03 21:00:00,2022-01-03 22:00:00,2022-01-03 23:00:00,2022-01-04 00:00:00,2022-01-04 01:00:00,2022-01-04 02:00:00,2022-01-04 03:00:00,2022-01-04 04:00:00,2022-01-04 05:00:00,2022-01-04 06:00:00,2022-01-04 07:00:00,2022-01-04 08:00:00,2022-01-04 08:30:00,2022-01-04 09:00:00,2022-01-04 10:00:00,2022-01-04 11:00:00,2022-01-04 12:00:00,2022-01-04 13:00:00,2022-01-04 14:00:00,2022-01-04 15:00:00,2022-01-04 16:00:00,2022-01-04 17:00:00,2022-01-04 18:00:00,2022-01-04 19:00:00,2022-01-04 20:00:00,2022-01-04 21:00:00,2022-01-04 22:00:00,2022-01-04 23:00:00,2022-01-05 00:00:00
0,POINT (347705.92987698934 6648084.034694256),0,0,0,0,0,0,0,0,0,703.0,703.0,659.4666666666667,615.9333333333334,572.4,528.8666666666667,485.33333333333337,441.8,398.26666666666665,354.73333333333335,311.20000000000005,267.6666666666667,224.13333333333333,180.60000000000002,137.06666666666672,93.5333333333333,0,0,0,0,0,0,0,0,0,578.4666666666667,672.0,630.5333333333333,589.0666666666666,547.6,506.1333333333333,464.66666666666663,423.2,381.73333333333335,340.26666666666665,298.79999999999995,257.3333333333333,215.86666666666667,174.39999999999998,132.93333333333328,91.4666666666667,0,0,0,0,0,0,0,0,0,300.5333333333333,392.0,369.2,346.4,323.6,300.8,278.0,255.2,232.4,209.6,186.79999999999998,164.0,141.2,118.39999999999998,95.59999999999997,72.80000000000001,0,0,0,0,0,0,0,0,0,288.2,361.0,340.26666666666665,319.5333333333333,298.8,278.06666666666666,257.3333333333333,236.6,215.86666666666667,195.13333333333333,174.39999999999998,153.66666666666666,132.93333333333334,112.19999999999999,91.46666666666664,70.73333333333335,0
7,POINT (345391.9191649888 6647706.041862475),0,0,0,0,0,0,0,0,0,647.0,647.0,607.2,567.4,527.6,487.8,448.0,408.20000000000005,368.40000000000003,328.6,288.8,249.0,209.20000000000005,169.40000000000003,129.60000000000002,89.80000000000007,0,0,0,0,0,0,0,0,0,529.1999999999999,619.0,581.0666666666667,543.1333333333333,505.20000000000005,467.26666666666665,429.33333333333337,391.40000000000003,353.4666666666667,315.53333333333336,277.6,239.66666666666669,201.73333333333335,163.80000000000007,125.86666666666673,87.9333333333334,0,0,0,0,0,0,0,0,0,275.0666666666666,363.0,342.1333333333333,321.26666666666665,300.4,279.5333333333333,258.66666666666663,237.8,216.93333333333334,196.06666666666666,175.2,154.33333333333331,133.46666666666667,112.6,91.73333333333335,70.86666666666667,0,0,0,0,0,0,0,0,0,264.1333333333333,335.0,316.0,297.0,278.0,259.0,240.0,221.0,202.0,183.0,164.0,145.0,126.0,107.0,88.0,69.0,0
9,POINT (348062.0107020772 6648080.749212164),0,0,0,0,0,0,0,0,0,231.0,231.0,218.93333333333334,206.86666666666667,194.8,182.73333333333335,170.66666666666669,158.6,146.53333333333333,134.46666666666667,122.4,110.33333333333334,98.26666666666668,86.19999999999999,74.13333333333333,62.06666666666666,0,0,0,0,0,0,0,0,0,159.93333333333334,222.0,210.53333333333333,199.06666666666666,187.6,176.13333333333333,164.66666666666666,153.2,141.73333333333335,130.26666666666665,118.8,107.33333333333333,95.86666666666666,84.4,72.93333333333334,61.46666666666667,0,0,0,0,0,0,0,0,0,83.53333333333333,145.0,138.66666666666666,132.33333333333334,126.0,119.66666666666667,113.33333333333334,107.0,100.66666666666667,94.33333333333334,88.0,81.66666666666667,75.33333333333334,69.0,62.66666666666667,56.33333333333334,0,0,0,0,0,0,0,0,0,79.66666666666666,136.0,130.26666666666668,124.53333333333333,118.8,113.06666666666666,107.33333333333333,101.6,95.86666666666667,90.13333333333333,84.4,78.66666666666666,72.93333333333334,67.2,61.46666666666667,55.733333333333334,0
